Index, Number of instances, Number of prey, Number of carnivorous, Average prey production, Average prey eaten, Average carnivorous production, Average carnivorous eaten
101, 261, 103, 158, 0.34, 2.15, 0.05, 0.33
102, 261, 103, 158, 0.34, 2.17, 0.05, 0.33
103, 262, 103, 159, 0.34, 2.18, 0.06, 0.33
104, 264, 105, 159, 0.35, 2.16, 0.06, 0.33
105, 264, 105, 159, 0.36, 2.17, 0.06, 0.33
106, 264, 105, 159, 0.36, 2.19, 0.06, 0.33
107, 264, 105, 159, 0.36, 2.2, 0.06, 0.33
108, 265, 106, 159, 0.37, 2.18, 0.06, 0.33
109, 265, 106, 159, 0.37, 2.19, 0.06, 0.33
110, 265, 106, 159, 0.37, 2.29, 0.06, 0.33
111, 265, 106, 159, 0.37, 2.34, 0.06, 0.33
112, 265, 106, 159, 0.37, 2.34, 0.06, 0.34
113, 264, 105, 159, 0.37, 2.36, 0.06, 0.35
114, 265, 105, 160, 0.37, 2.37, 0.06, 0.34
115, 264, 104, 160, 0.38, 2.37, 0.06, 0.35
116, 264, 104, 160, 0.38, 2.37, 0.06, 0.35
117, 265, 105, 160, 0.38, 2.34, 0.06, 0.35
118, 266, 106, 160, 0.39, 2.33, 0.06, 0.35
119, 266, 106, 160, 0.39, 2.35, 0.06, 0.35
120, 266, 106, 160, 0.39, 2.35, 0.06, 0.35
121, 266, 106, 160, 0.39, 2.35, 0.06, 0.35
122, 266, 106, 160, 0.39, 2.35, 0.06, 0.35
123, 266, 106, 160, 0.39, 2.35, 0.06, 0.35
124, 266, 106, 160, 0.39, 2.36, 0.06, 0.35
125, 267, 107, 160, 0.39, 2.34, 0.06, 0.35
126, 267, 107, 160, 0.39, 2.36, 0.06, 0.35
127, 267, 107, 160, 0.39, 2.38, 0.06, 0.35
128, 260, 100, 160, 0.4, 2.32, 0.06, 0.39
129, 260, 100, 160, 0.4, 2.32, 0.06, 0.39
130, 260, 100, 160, 0.4, 2.33, 0.06, 0.39
131, 260, 100, 160, 0.4, 2.34, 0.06, 0.39
132, 261, 101, 160, 0.41, 2.45, 0.06, 0.39
133, 261, 101, 160, 0.41, 2.47, 0.06, 0.39
134, 262, 102, 160, 0.41, 2.46, 0.06, 0.39
135, 261, 101, 160, 0.42, 2.5, 0.06, 0.4
136, 261, 101, 160, 0.42, 2.52, 0.06, 0.4
137, 262, 102, 160, 0.42, 2.51, 0.06, 0.4
138, 262, 102, 160, 0.42, 2.52, 0.06, 0.4
139, 262, 102, 160, 0.42, 2.52, 0.06, 0.4
140, 264, 104, 160, 0.43, 2.48, 0.06, 0.4
141, 265, 105, 160, 0.44, 2.46, 0.06, 0.4
142, 265, 105, 160, 0.44, 2.47, 0.06, 0.4
143, 265, 105, 160, 0.44, 2.47, 0.06, 0.4
144, 261, 101, 160, 0.44, 2.51, 0.06, 0.43
145, 262, 102, 160, 0.44, 2.5, 0.06, 0.43
146, 263, 102, 161, 0.44, 2.51, 0.07, 0.42
147, 263, 102, 161, 0.44, 2.52, 0.07, 0.42
148, 265, 104, 161, 0.45, 2.47, 0.07, 0.42
149, 265, 104, 161, 0.45, 2.49, 0.07, 0.42
150, 265, 104, 161, 0.45, 2.51, 0.07, 0.42
151, 266, 105, 161, 0.46, 2.5, 0.07, 0.42
152, 266, 105, 161, 0.46, 2.5, 0.07, 0.42
153, 266, 105, 161, 0.46, 2.5, 0.07, 0.42
154, 265, 104, 161, 0.45, 2.58, 0.07, 0.43
155, 265, 104, 161, 0.45, 2.59, 0.07, 0.43
156, 265, 104, 161, 0.45, 2.59, 0.07, 0.43
157, 267, 105, 162, 0.46, 2.56, 0.07, 0.43
158, 269, 107, 162, 0.47, 2.52, 0.07, 0.43
159, 269, 107, 162, 0.47, 2.56, 0.07, 0.43
160, 269, 107, 162, 0.47, 2.55, 0.07, 0.43
161, 268, 106, 162, 0.46, 2.58, 0.07, 0.44
162, 269, 107, 162, 0.47, 2.58, 0.07, 0.44
163, 269, 107, 162, 0.47, 2.6, 0.07, 0.44
164, 273, 110, 163, 0.48, 2.54, 0.08, 0.44
165, 273, 110, 163, 0.48, 2.56, 0.08, 0.44
166, 273, 110, 163, 0.48, 2.6, 0.08, 0.44
167, 273, 110, 163, 0.48, 2.61, 0.08, 0.44
168, 273, 110, 163, 0.48, 2.64, 0.08, 0.44
169, 275, 112, 163, 0.49, 2.59, 0.08, 0.44
170, 275, 112, 163, 0.49, 2.6, 0.08, 0.44
171, 276, 113, 163, 0.5, 2.58, 0.08, 0.44
172, 276, 113, 163, 0.5, 2.58, 0.08, 0.44
173, 276, 113, 163, 0.5, 2.58, 0.08, 0.44
174, 276, 113, 163, 0.5, 2.59, 0.08, 0.44
175, 277, 114, 163, 0.5, 2.57, 0.08, 0.44
176, 275, 112, 163, 0.51, 2.63, 0.08, 0.45
177, 276, 113, 163, 0.51, 2.63, 0.08, 0.45
178, 276, 113, 163, 0.51, 2.65, 0.08, 0.45
179, 276, 113, 163, 0.51, 2.68, 0.08, 0.45
180, 277, 114, 163, 0.52, 2.67, 0.08, 0.45
181, 277, 114, 163, 0.52, 2.68, 0.08, 0.45
182, 278, 115, 163, 0.52, 2.66, 0.08, 0.45
183, 278, 115, 163, 0.52, 2.67, 0.08, 0.45
184, 278, 115, 163, 0.52, 2.68, 0.08, 0.45
185, 278, 115, 163, 0.52, 2.7, 0.08, 0.45
186, 279, 116, 163, 0.53, 2.68, 0.08, 0.45
187, 279, 116, 163, 0.53, 2.71, 0.08, 0.45
188, 280, 116, 164, 0.53, 2.72, 0.09, 0.45
189, 280, 116, 164, 0.53, 2.72, 0.09, 0.45
190, 280, 116, 164, 0.53, 2.73, 0.09, 0.45
191, 282, 118, 164, 0.53, 2.69, 0.09, 0.45
192, 277, 113, 164, 0.54, 2.7, 0.09, 0.48
193, 278, 114, 164, 0.54, 2.71, 0.09, 0.48
194, 279, 115, 164, 0.55, 2.7, 0.09, 0.48
195, 279, 115, 164, 0.55, 2.72, 0.09, 0.48
196, 280, 116, 164, 0.55, 2.72, 0.09, 0.48
197, 280, 116, 164, 0.55, 2.74, 0.09, 0.48
198, 281, 116, 165, 0.55, 2.78, 0.09, 0.47
199, 281, 116, 165, 0.55, 2.79, 0.09, 0.47
200, 282, 116, 166, 0.55, 2.8, 0.1, 0.47
201, 284, 118, 166, 0.56, 2.76, 0.1, 0.47
202, 284, 118, 166, 0.56, 2.79, 0.1, 0.47
203, 284, 118, 166, 0.56, 2.8, 0.1, 0.47
204, 284, 118, 166, 0.56, 2.8, 0.1, 0.47
205, 285, 119, 166, 0.56, 2.77, 0.1, 0.47
206, 285, 119, 166, 0.56, 2.78, 0.1, 0.47
207, 285, 119, 166, 0.56, 2.79, 0.1, 0.47
208, 285, 118, 167, 0.58, 2.8, 0.1, 0.48
209, 286, 118, 168, 0.58, 2.82, 0.11, 0.48
210, 286, 118, 168, 0.58, 2.85, 0.11, 0.48
211, 286, 118, 168, 0.58, 2.86, 0.11, 0.48
212, 286, 118, 168, 0.58, 2.87, 0.11, 0.48
213, 286, 118, 168, 0.58, 2.87, 0.11, 0.48
214, 286, 118, 168, 0.58, 2.87, 0.11, 0.48
215, 285, 117, 168, 0.57, 2.86, 0.11, 0.48
216, 285, 117, 168, 0.57, 2.88, 0.11, 0.48
217, 285, 117, 168, 0.57, 2.88, 0.11, 0.48
218, 286, 117, 169, 0.57, 2.88, 0.11, 0.48
219, 287, 117, 170, 0.57, 2.88, 0.12, 0.48
220, 289, 118, 171, 0.58, 2.91, 0.12, 0.47
221, 290, 119, 171, 0.58, 2.89, 0.12, 0.48
222, 290, 119, 171, 0.58, 2.93, 0.12, 0.48
223, 291, 119, 172, 0.58, 2.94, 0.13, 0.48
224, 288, 115, 173, 0.58, 3.0, 0.13, 0.5
225, 290, 116, 174, 0.59, 2.94, 0.14, 0.5
226, 290, 116, 174, 0.59, 2.96, 0.14, 0.5
227, 291, 116, 175, 0.59, 2.97, 0.14, 0.5
228, 291, 116, 175, 0.59, 2.97, 0.14, 0.5
229, 293, 118, 175, 0.6, 2.92, 0.14, 0.5
230, 294, 119, 175, 0.61, 2.9, 0.14, 0.5
231, 294, 119, 175, 0.61, 2.9, 0.14, 0.5
232, 296, 120, 176, 0.61, 2.88, 0.15, 0.49
233, 297, 120, 177, 0.61, 2.88, 0.15, 0.49
234, 297, 120, 177, 0.61, 2.88, 0.15, 0.49
235, 298, 121, 177, 0.61, 2.86, 0.15, 0.49
236, 298, 121, 177, 0.61, 2.89, 0.15, 0.49
237, 299, 122, 177, 0.61, 2.89, 0.15, 0.49
238, 301, 124, 177, 0.62, 2.87, 0.15, 0.49
239, 301, 124, 177, 0.62, 2.9, 0.15, 0.49
240, 295, 118, 177, 0.62, 2.97, 0.15, 0.53
241, 297, 120, 177, 0.63, 2.93, 0.15, 0.53
242, 298, 121, 177, 0.63, 2.97, 0.15, 0.53
243, 299, 122, 177, 0.63, 2.99, 0.15, 0.53
244, 299, 122, 177, 0.63, 3.01, 0.15, 0.53
245, 299, 122, 177, 0.63, 3.02, 0.15, 0.53
246, 300, 123, 177, 0.63, 3.0, 0.15, 0.53
247, 302, 123, 179, 0.63, 3.01, 0.16, 0.53
248, 302, 123, 179, 0.63, 3.03, 0.16, 0.53
249, 303, 124, 179, 0.64, 3.02, 0.16, 0.53
250, 304, 125, 179, 0.64, 3.01, 0.16, 0.53
251, 304, 125, 179, 0.64, 3.02, 0.16, 0.53
252, 304, 125, 179, 0.64, 3.05, 0.16, 0.53
253, 304, 125, 179, 0.64, 3.08, 0.16, 0.53
254, 304, 125, 179, 0.64, 3.09, 0.16, 0.53
255, 304, 125, 179, 0.64, 3.1, 0.16, 0.53
256, 301, 122, 179, 0.61, 3.08, 0.16, 0.56
257, 302, 123, 179, 0.62, 3.07, 0.16, 0.56
258, 302, 123, 179, 0.62, 3.11, 0.16, 0.56
259, 303, 124, 179, 0.62, 3.09, 0.16, 0.56
260, 303, 124, 179, 0.62, 3.1, 0.16, 0.56
261, 304, 125, 179, 0.62, 3.08, 0.16, 0.56
262, 304, 125, 179, 0.62, 3.1, 0.16, 0.56
263, 304, 125, 179, 0.62, 3.13, 0.16, 0.56
264, 304, 125, 179, 0.62, 3.15, 0.16, 0.56
265, 304, 125, 179, 0.62, 3.18, 0.16, 0.56
266, 304, 125, 179, 0.62, 3.2, 0.16, 0.56
267, 305, 126, 179, 0.63, 3.18, 0.16, 0.56
268, 306, 126, 180, 0.63, 3.19, 0.17, 0.56
269, 307, 127, 180, 0.63, 3.17, 0.17, 0.56
270, 308, 128, 180, 0.63, 3.15, 0.17, 0.56
271, 308, 128, 180, 0.63, 3.16, 0.17, 0.56
272, 305, 124, 181, 0.63, 3.19, 0.17, 0.57
273, 305, 124, 181, 0.63, 3.22, 0.17, 0.57
274, 305, 124, 181, 0.63, 3.25, 0.17, 0.57
275, 305, 124, 181, 0.63, 3.27, 0.17, 0.57
276, 305, 124, 181, 0.63, 3.27, 0.17, 0.57
277, 306, 125, 181, 0.63, 3.24, 0.17, 0.57
278, 306, 125, 181, 0.63, 3.24, 0.17, 0.57
279, 306, 125, 181, 0.63, 3.24, 0.17, 0.57
280, 306, 125, 181, 0.63, 3.26, 0.17, 0.57
281, 305, 124, 181, 0.64, 3.27, 0.17, 0.58
282, 305, 124, 181, 0.64, 3.29, 0.17, 0.58
283, 306, 124, 182, 0.64, 3.3, 0.18, 0.58
284, 306, 124, 182, 0.64, 3.3, 0.18, 0.58
285, 306, 124, 182, 0.64, 3.31, 0.18, 0.58
286, 306, 124, 182, 0.64, 3.35, 0.18, 0.58
287, 307, 125, 182, 0.64, 3.33, 0.18, 0.58
288, 304, 122, 182, 0.65, 3.36, 0.18, 0.6
289, 305, 123, 182, 0.65, 3.35, 0.18, 0.6
290, 305, 123, 182, 0.65, 3.37, 0.18, 0.6
291, 305, 123, 182, 0.65, 3.4, 0.18, 0.6
292, 306, 124, 182, 0.65, 3.4, 0.18, 0.6
293, 308, 125, 183, 0.66, 3.38, 0.18, 0.6
294, 308, 125, 183, 0.66, 3.39, 0.18, 0.6
295, 309, 126, 183, 0.66, 3.37, 0.18, 0.6
296, 311, 127, 184, 0.66, 3.35, 0.18, 0.6
297, 312, 127, 185, 0.67, 3.36, 0.19, 0.6
298, 312, 127, 185, 0.67, 3.38, 0.19, 0.6
299, 313, 128, 185, 0.67, 3.36, 0.19, 0.6
300, 313, 128, 185, 0.67, 3.38, 0.19, 0.6
301, 314, 128, 186, 0.67, 3.39, 0.19, 0.6
302, 316, 130, 186, 0.68, 3.36, 0.19, 0.6
303, 317, 131, 186, 0.68, 3.37, 0.19, 0.6
304, 310, 124, 186, 0.69, 3.33, 0.19, 0.63
305, 311, 125, 186, 0.7, 3.32, 0.19, 0.64
306, 312, 126, 186, 0.7, 3.33, 0.19, 0.64
307, 313, 127, 186, 0.7, 3.33, 0.19, 0.64
308, 314, 127, 187, 0.7, 3.38, 0.2, 0.64
309, 315, 128, 187, 0.7, 3.39, 0.2, 0.64
310, 317, 129, 188, 0.71, 3.4, 0.2, 0.63
311, 319, 130, 189, 0.71, 3.41, 0.21, 0.63
312, 318, 128, 190, 0.72, 3.44, 0.21, 0.64
313, 318, 128, 190, 0.72, 3.44, 0.21, 0.64
314, 319, 129, 190, 0.72, 3.42, 0.21, 0.64
315, 320, 130, 190, 0.72, 3.4, 0.21, 0.64
316, 321, 131, 190, 0.73, 3.39, 0.21, 0.64
317, 323, 132, 191, 0.73, 3.39, 0.21, 0.63
318, 323, 132, 191, 0.73, 3.41, 0.21, 0.63
319, 323, 132, 191, 0.73, 3.41, 0.21, 0.63
320, 317, 126, 191, 0.71, 3.44, 0.21, 0.67
321, 318, 126, 192, 0.71, 3.45, 0.22, 0.67
322, 321, 129, 192, 0.72, 3.38, 0.22, 0.67
323, 322, 130, 192, 0.72, 3.38, 0.22, 0.67
324, 324, 132, 192, 0.73, 3.36, 0.22, 0.67
325, 325, 133, 192, 0.73, 3.35, 0.22, 0.67
326, 326, 134, 192, 0.73, 3.35, 0.22, 0.67
327, 328, 136, 192, 0.74, 3.32, 0.22, 0.67
328, 329, 137, 192, 0.74, 3.33, 0.22, 0.67
329, 329, 137, 192, 0.74, 3.31, 0.22, 0.68
330, 329, 137, 192, 0.74, 3.34, 0.22, 0.68
331, 329, 137, 192, 0.74, 3.36, 0.22, 0.68
332, 330, 138, 192, 0.74, 3.35, 0.22, 0.68
333, 330, 138, 192, 0.74, 3.36, 0.22, 0.68
334, 330, 138, 192, 0.74, 3.38, 0.22, 0.68
335, 330, 138, 192, 0.74, 3.39, 0.22, 0.68
336, 324, 132, 192, 0.74, 3.44, 0.22, 0.71
337, 324, 132, 192, 0.74, 3.45, 0.22, 0.71
338, 324, 132, 192, 0.74, 3.45, 0.22, 0.71
339, 326, 133, 193, 0.74, 3.43, 0.22, 0.71
340, 326, 133, 193, 0.74, 3.44, 0.22, 0.71
341, 327, 134, 193, 0.75, 3.42, 0.22, 0.71
342, 328, 134, 194, 0.75, 3.43, 0.23, 0.71
343, 328, 134, 194, 0.75, 3.44, 0.23, 0.71
344, 329, 135, 194, 0.75, 3.43, 0.23, 0.71
345, 328, 134, 194, 0.74, 3.43, 0.23, 0.71
346, 328, 134, 194, 0.74, 3.44, 0.23, 0.71
347, 329, 135, 194, 0.74, 3.43, 0.23, 0.71
348, 329, 135, 194, 0.74, 3.45, 0.23, 0.71
349, 328, 134, 194, 0.75, 3.45, 0.23, 0.72
350, 328, 134, 194, 0.75, 3.45, 0.23, 0.72
351, 330, 135, 195, 0.75, 3.43, 0.23, 0.71
352, 324, 129, 195, 0.74, 3.47, 0.23, 0.74
353, 324, 129, 195, 0.74, 3.48, 0.23, 0.74
354, 324, 129, 195, 0.74, 3.49, 0.23, 0.74
355, 324, 129, 195, 0.74, 3.49, 0.23, 0.74
356, 326, 130, 196, 0.74, 3.47, 0.23, 0.74
357, 326, 130, 196, 0.74, 3.48, 0.23, 0.74
358, 327, 131, 196, 0.74, 3.45, 0.23, 0.74
359, 327, 131, 196, 0.74, 3.46, 0.23, 0.74
360, 327, 131, 196, 0.74, 3.47, 0.23, 0.74
361, 328, 131, 197, 0.74, 3.47, 0.24, 0.74
362, 328, 131, 197, 0.74, 3.47, 0.24, 0.74
363, 328, 131, 197, 0.74, 3.49, 0.24, 0.74
364, 328, 131, 197, 0.74, 3.49, 0.24, 0.74
365, 329, 132, 197, 0.74, 3.46, 0.24, 0.74
366, 329, 132, 197, 0.74, 3.46, 0.24, 0.74
367, 329, 132, 197, 0.74, 3.46, 0.24, 0.74
368, 327, 129, 198, 0.75, 3.52, 0.24, 0.76
369, 329, 131, 198, 0.76, 3.47, 0.24, 0.76
370, 329, 131, 198, 0.76, 3.49, 0.24, 0.76
371, 329, 131, 198, 0.76, 3.49, 0.24, 0.76
372, 330, 131, 199, 0.76, 3.5, 0.25, 0.75
373, 329, 130, 199, 0.75, 3.52, 0.25, 0.76
374, 331, 131, 200, 0.76, 3.52, 0.25, 0.76
375, 333, 131, 202, 0.76, 3.52, 0.26, 0.75
376, 333, 131, 202, 0.76, 3.52, 0.26, 0.75
377, 333, 131, 202, 0.76, 3.53, 0.26, 0.75
378, 334, 132, 202, 0.77, 3.47, 0.26, 0.75
379, 334, 132, 202, 0.77, 3.48, 0.26, 0.75
380, 334, 131, 203, 0.77, 3.47, 0.26, 0.75
381, 334, 130, 204, 0.78, 3.48, 0.26, 0.75
382, 334, 130, 204, 0.78, 3.48, 0.26, 0.75
383, 335, 131, 204, 0.78, 3.47, 0.26, 0.75
384, 332, 128, 204, 0.8, 3.53, 0.26, 0.77
385, 332, 128, 204, 0.8, 3.54, 0.26, 0.77
386, 334, 128, 206, 0.8, 3.54, 0.27, 0.76
387, 334, 128, 206, 0.8, 3.54, 0.27, 0.76
388, 335, 128, 207, 0.8, 3.55, 0.28, 0.76
389, 335, 128, 207, 0.8, 3.56, 0.28, 0.76
390, 335, 128, 207, 0.8, 3.58, 0.28, 0.76
391, 338, 131, 207, 0.8, 3.53, 0.28, 0.76
392, 338, 131, 207, 0.8, 3.56, 0.28, 0.76
393, 338, 131, 207, 0.79, 3.47, 0.28, 0.77
394, 338, 130, 208, 0.79, 3.53, 0.28, 0.77
395, 338, 130, 208, 0.79, 3.55, 0.28, 0.77
396, 339, 130, 209, 0.79, 3.61, 0.28, 0.77
397, 339, 130, 209, 0.79, 3.62, 0.28, 0.77
398, 339, 130, 209, 0.79, 3.63, 0.28, 0.77
399, 339, 130, 209, 0.79, 3.63, 0.28, 0.77
400, 339, 130, 209, 0.8, 3.61, 0.28, 0.77
401, 341, 132, 209, 0.8, 3.57, 0.28, 0.77
402, 341, 132, 209, 0.8, 3.59, 0.28, 0.77
403, 344, 135, 209, 0.81, 3.52, 0.28, 0.77
404, 345, 135, 210, 0.81, 3.56, 0.29, 0.77
405, 346, 136, 210, 0.81, 3.55, 0.29, 0.77
406, 346, 136, 210, 0.81, 3.57, 0.29, 0.77
407, 346, 136, 210, 0.81, 3.59, 0.29, 0.77
408, 345, 135, 210, 0.81, 3.58, 0.29, 0.77
409, 346, 136, 210, 0.81, 3.56, 0.29, 0.77
410, 345, 135, 210, 0.81, 3.57, 0.29, 0.78
411, 347, 137, 210, 0.82, 3.53, 0.29, 0.78
412, 348, 137, 211, 0.82, 3.55, 0.29, 0.77
413, 348, 136, 212, 0.8, 3.6, 0.29, 0.77
414, 348, 136, 212, 0.8, 3.62, 0.29, 0.77
415, 350, 138, 212, 0.8, 3.57, 0.29, 0.77
416, 345, 133, 212, 0.79, 3.62, 0.29, 0.8
417, 345, 133, 212, 0.8, 3.61, 0.29, 0.8
418, 347, 134, 213, 0.8, 3.63, 0.3, 0.8
419, 349, 136, 213, 0.8, 3.6, 0.3, 0.8
420, 350, 137, 213, 0.8, 3.59, 0.3, 0.8
421, 350, 136, 214, 0.81, 3.56, 0.3, 0.8
422, 350, 136, 214, 0.81, 3.57, 0.3, 0.8
423, 351, 137, 214, 0.81, 3.55, 0.3, 0.8
424, 352, 137, 215, 0.81, 3.55, 0.3, 0.8
425, 352, 137, 215, 0.81, 3.55, 0.3, 0.8
426, 351, 136, 215, 0.82, 3.53, 0.3, 0.8
427, 351, 136, 215, 0.82, 3.53, 0.3, 0.8
428, 351, 136, 215, 0.82, 3.53, 0.3, 0.8
429, 351, 136, 215, 0.82, 3.53, 0.3, 0.8
430, 352, 137, 215, 0.82, 3.5, 0.3, 0.8
431, 352, 137, 215, 0.82, 3.5, 0.3, 0.8
432, 348, 133, 215, 0.83, 3.54, 0.3, 0.82
433, 348, 133, 215, 0.83, 3.56, 0.3, 0.82
434, 348, 133, 215, 0.83, 3.56, 0.3, 0.82
435, 348, 133, 215, 0.83, 3.56, 0.3, 0.82
436, 348, 133, 215, 0.83, 3.56, 0.3, 0.82
437, 349, 134, 215, 0.83, 3.54, 0.3, 0.82
438, 350, 134, 216, 0.83, 3.57, 0.31, 0.82
439, 350, 134, 216, 0.83, 3.6, 0.31, 0.82
440, 350, 134, 216, 0.83, 3.63, 0.31, 0.82
441, 350, 134, 216, 0.83, 3.66, 0.31, 0.82
442, 350, 133, 217, 0.83, 3.66, 0.31, 0.82
443, 351, 134, 217, 0.83, 3.64, 0.31, 0.82
444, 351, 134, 217, 0.83, 3.64, 0.31, 0.82
445, 351, 134, 217, 0.83, 3.65, 0.31, 0.82
446, 351, 134, 217, 0.83, 3.65, 0.31, 0.82
